parser,context_uid,pages,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_f1,table_shape_match,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,runtime_seconds,run_status
pymupdf4llm,d4f5a342-4efd-42fd-aa11-7e762d1e3f8f,1,6,0.06422018348623854,0.9357798165137614,0.9724770642201835,0.896551724137931,0,0,1.0,0.875,0.405061,ok
pymupdf4llm,d7a538e8-655c-4a25-96a1-cff8b7c1b039,1,6,0.07407407407407407,0.9259259259259259,1.0,0.923076923076923,0,0,1.0,1.0,0.197772,ok
pymupdf4llm,073a0021-1564-4fe2-8759-73b15dd69ea1,1,6,0.02178649237472767,0.9782135076252724,1.0,0.9696969696969697,1,0,1.0,1.0,3.388316,ok
pymupdf4llm,4dddba76-8925-4f79-9d9c-749341fcc978,1,6,0.02142857142857143,0.9785714285714285,1.0,0.9387755102040816,1,0,1.0,0.8888888888888888,0.873020,ok
pymupdf4llm,ce047259-a834-4e5b-aadb-987e10b3c922,1,6,0.040229885057471264,0.9597701149425287,0.9827586206896551,0.9090909090909091,0,0,1.0,0.8333333333333334,1.044377,ok
pymupdf4llm,af31958a-184d-4005-9fcb-cfad9912ba8c,1,6,0.08888888888888889,0.9111111111111111,0.9555555555555556,0.9166666666666666,0,0,1.0,1.0,0.285845,ok
pymupdf4llm,56506759-74a2-4c23-bb16-263af3227c1c,1,6,0.011049723756906077,0.988950276243094,1.0,0.9696969696969697,1,0,1.0,1.0,0.400258,ok
pymupdf4llm,3789d7da-dc3e-4cd7-b639-d6805211405a,1,6,0.07177033492822966,0.9282296650717703,0.9665071770334929,0.927536231884058,0,0,1.0,1.0,0.794412,ok
pymupdf4llm,8dcb30f6-a302-4704-b665-a82ee828a3d6,1,6,0.0379746835443038,0.9620253164556962,1.0,0.9302325581395349,1,0,1.0,0.6666666666666666,0.479647,ok
pymupdf4llm,82aee0df-7345-4452-afdf-a23a280d64ae,1,6,0.03070175438596491,0.9692982456140351,0.9839181286549707,0.923076923076923,0,0,1.0,1.0,1.892293,ok
pymupdf4llm,fd7e14ed-efb6-4992-bdc2-b5603d91f126,1,6,0.07692307692307693,0.9230769230769231,0.9635627530364372,0.962962962962963,0,0,1.0,1.0,1.271507,ok
pymupdf4llm,875fa4bd-a56d-4f03-bd52-4ecddf547686,1,6,0.04411764705882353,0.9558823529411765,0.9852941176470589,0.8627450980392156,1,0,1.0,0.7777777777777778,0.670435,ok
pymupdf4llm,e5fc54e8-4656-4277-a0a8-db9a938aca3d,1,6,0.043243243243243246,0.9567567567567568,1.0,0.9545454545454545,1,0,1.0,1.0,0.972355,ok
pymupdf4llm,39fda147-0e87-41e1-a4d5-0e71abbadf16,1,6,0.04741379310344827,0.9525862068965517,0.9741379310344828,0.7555555555555556,0,0,1.0,1.0,0.689185,ok
pymupdf4llm,00addb09-bf31-4240-a351-bc4480a3cecc,1,6,0.013582342954159592,0.9864176570458404,0.9966044142614601,0.9827586206896551,1,0,1.0,0.75,2.671762,ok
pymupdf4llm,ec3603ca-033e-4f41-a246-a19866d8f84d,1,6,0.031055900621118012,0.968944099378882,0.968944099378882,0.9487179487179488,0,0,1.0,1.0,1.164254,ok
pymupdf4llm,d4d2731b-3a60-4569-8dc2-005e525c4de8,1,6,0.22,0.78,0.9,0.888888888888889,0,0,1.0,1.0,0.157348,ok
pymupdf4llm,79a8ddc2-5848-4471-ad53-c3c70e4ec0c4,1,6,0.13333333333333333,0.8666666666666667,0.8666666666666667,0.8275862068965517,0,0,0.6666666666666666,1.0,0.221879,ok
pymupdf4llm,b42dd0bb-f4fd-4a6a-b379-2faa5113ffa8,1,6,0.05,0.95,1.0,0.970873786407767,1,0,1.0,1.0,0.568068,ok
pymupdf4llm,07157d5d-3285-45d0-9f62-26aa4108e35f,1,6,0.020477815699658702,0.9795221843003413,1.0,0.9714285714285714,1,0,1.0,0.75,1.482786,ok
pymupdf4llm,47aef271-dde3-4cf2-9d0e-4c10f66959e9,1,6,0.03636363636363636,0.9636363636363636,1.0,0.9361702127659575,1,0,1.0,1.0,0.502017,ok
pymupdf4llm,26d46b77-411e-47aa-b650-5c84ef3e9e21,1,6,0.0,1.0,1.0,1.0,1,1,1.0,1.0,0.225022,ok
pymupdf4llm,e573a09b-3053-4c6e-9766-3cce1d2c087d,1,6,0.025362318840579712,0.9746376811594203,0.9891304347826086,0.888888888888889,0,0,1.0,1.0,0.440630,ok
pymupdf4llm,02a7787e-92f9-4a5a-9f95-c4c9ed0f7eff,1,6,0.016666666666666666,0.9833333333333333,1.0,0.972972972972973,1,0,1.0,1.0,0.209671,ok
pymupdf4llm,cf49db0f-608a-4ef4-a248-d73c6030df4b,1,6,0.06989247311827956,0.9301075268817205,0.967741935483871,0.9600000000000001,0,0,1.0,0.875,0.668624,ok
pymupdf4llm,7d228e82-671c-4b83-aad1-405493c0aa0c,1,6,0.011049723756906077,0.988950276243094,1.0,0.9795918367346939,1,0,1.0,1.0,0.489848,ok
pymupdf4llm,db62468f-cfd5-4b89-b2b0-eb9d1a78a31e,1,6,0.026634382566585957,0.973365617433414,0.9878934624697336,0.8947368421052632,0,0,1.0,0.8571428571428571,0.977255,ok
pymupdf4llm,78b73a25-9328-4177-8f82-0da14f052461,1,6,0.01834862385321101,0.981651376146789,0.9954128440366973,0.896551724137931,0,0,1.0,1.0,0.392707,ok
pymupdf4llm,a190aaec-d9e9-4555-a64b-e833f1db0843,1,6,0.08633093525179857,0.9136690647482014,0.9640287769784173,0.9473684210526316,0,0,0.6666666666666666,1.0,0.443296,ok
pymupdf4llm,5e60c056-5073-441d-8525-7f834deb5c64,1,6,0.01762114537444934,0.9823788546255506,1.0,0.888888888888889,0,0,1.0,1.0,0.395118,ok
pymupdf4llm,b6fa85a0-a203-4ed3-8c4d-6c1b5a8b08c1,1,6,0.022727272727272728,0.9772727272727273,1.0,0.983050847457627,1,0,1.0,1.0,0.286824,ok
pymupdf4llm,577a9bb6-6158-41aa-b2ec-1a3dd5cdfa06,1,6,0.01160541586073501,0.988394584139265,1.0,0.9491525423728813,1,0,1.0,1.0,1.376088,ok
pymupdf4llm,b89656a2-196d-42d3-98bf-f58d51aedbb4,1,6,0.03864734299516908,0.961352657004831,0.9903381642512077,0.9411764705882353,1,0,1.0,1.0,0.504767,ok
pymupdf4llm,aea0cfae-19e9-4aec-a577-de0230696ce0,1,6,0.013029315960912053,0.9869706840390879,0.993485342019544,0.967741935483871,1,0,1.0,1.0,0.532089,ok
